Lon       Lat      Dep  Vel  Mag      Fast
98.500000 24.000000 20 3.519 0.007111 28.366126
98.500000 24.000000 25 3.556 0.007489 17.492769
98.500000 24.000000 30 3.667 0.006911 6.231865
98.500000 24.000000 35 3.834 0.005996 -2.986974
98.500000 24.000000 40 4.280 0.005140 -12.280984
98.500000 24.000000 45 4.397 0.005364 -24.936167
98.500000 24.000000 50 4.392 0.006394 -33.324746
98.500000 24.000000 55 4.381 0.007346 -37.004656
98.500000 24.000000 60 4.366 0.007900 -38.064147
98.500000 24.000000 65 4.353 0.008150 -37.522865
98.500000 24.000000 70 4.254 0.015648 -34.909593
98.500000 24.000000 80 4.154 0.013186 -29.849091
98.500000 24.000000 90 4.166 0.010398 -23.279782
98.500000 24.000000 100 4.201 0.008185 -15.152819
98.500000 24.000000 110 4.244 0.006754 -6.011432
98.500000 24.000000 120 4.290 0.005991 2.811953
98.500000 24.000000 130 4.333 0.005613 10.074697
98.500000 24.000000 140 4.371 0.005365 15.445601
98.500000 24.000000 150 4.403 0.005107 19.222369
98.500000 24.500000 0 3.131 0.012056 -9.621280
98.500000 24.500000 5 3.102 0.010383 -18.969372
98.500000 24.500000 10 3.374 0.008975 -10.026408
98.500000 24.500000 15 3.506 0.006901 7.795725
98.500000 24.500000 20 3.562 0.005550 20.993231
98.500000 24.500000 25 3.596 0.003296 22.203675
98.500000 24.500000 30 3.661 0.001768 -7.620422
98.500000 24.500000 35 3.780 0.002877 -29.434905
98.500000 24.500000 40 4.206 0.004087 -32.173839
98.500000 24.500000 45 4.303 0.005872 -30.518519
98.500000 24.500000 50 4.285 0.007403 -28.952431
98.500000 24.500000 55 4.275 0.008307 -27.960315
98.500000 24.500000 60 4.273 0.008646 -27.491589
98.500000 24.500000 65 4.277 0.008689 -27.609308
98.500000 24.500000 70 4.179 0.016132 -28.724916
98.500000 24.500000 80 4.118 0.012908 -31.390344
98.500000 24.500000 90 4.189 0.009521 -35.655243
98.500000 24.500000 100 4.259 0.006793 -42.071981
98.500000 24.500000 110 4.321 0.004870 -51.120259
98.500000 24.500000 120 4.374 0.003733 -62.565451
98.500000 24.500000 130 4.415 0.003208 -74.542056
98.500000 24.500000 140 4.447 0.003019 -84.854102
98.500000 24.500000 150 4.470 0.002936 87.117736
98.500000 25.000000 0 3.126 0.017749 -12.097027
98.500000 25.000000 5 3.083 0.016433 -15.510912
98.500000 25.000000 10 3.272 0.017108 -8.443132
98.500000 25.000000 15 3.404 0.010029 -0.502179
98.500000 25.000000 20 3.533 0.002971 23.095221
98.500000 25.000000 25 3.613 0.003256 73.613277
98.500000 25.000000 30 3.666 0.003761 -88.685703
98.500000 25.000000 35 3.719 0.003391 -66.838308
98.500000 25.000000 40 3.774 0.004398 -45.384770
98.500000 25.000000 45 3.846 0.005170 -36.590723
98.500000 25.000000 50 4.269 0.005634 -31.530963
98.500000 25.000000 55 4.364 0.006822 -29.366201
98.500000 25.000000 60 4.343 0.007720 -29.806532
98.500000 25.000000 65 4.326 0.008260 -31.866059
98.500000 25.000000 70 4.218 0.016758 -36.514326
98.500000 25.000000 80 4.129 0.015552 -43.321316
98.500000 25.000000 90 4.175 0.013816 -50.103479
98.500000 25.000000 100 4.238 0.012139 -56.641474
98.500000 25.000000 110 4.303 0.010557 -62.914142
98.500000 25.000000 120 4.361 0.009113 -69.045874
98.500000 25.000000 130 4.409 0.007853 -75.114831
98.500000 25.000000 140 4.446 0.006799 -81.075764
98.500000 25.000000 150 4.473 0.005938 -86.777196
98.500000 25.500000 0 3.096 0.020874 -6.396685
98.500000 25.500000 5 3.060 0.014552 -17.888680
98.500000 25.500000 10 3.318 0.016851 -12.630402
98.500000 25.500000 15 3.452 0.014438 -3.118684
98.500000 25.500000 20 3.536 0.010789 7.633196
98.500000 25.500000 25 3.570 0.007498 17.281790
98.500000 25.500000 30 3.594 0.004391 25.160999
98.500000 25.500000 35 3.635 0.001636 35.903154
98.500000 25.500000 40 3.718 0.000906 89.361017
98.500000 25.500000 45 4.157 0.001757 -72.923811
98.500000 25.500000 50 4.254 0.002824 -62.912834
98.500000 25.500000 55 4.233 0.004141 -58.451460
98.500000 25.500000 60 4.223 0.005343 -56.715399
98.500000 25.500000 65 4.227 0.006568 -56.402698
98.500000 25.500000 70 4.118 0.015877 -57.310343
98.500000 25.500000 80 4.077 0.016948 -59.173685
98.500000 25.500000 90 4.198 0.016277 -61.631189
98.500000 25.500000 100 4.304 0.015103 -64.719056
98.500000 25.500000 110 4.387 0.013730 -68.219217
98.500000 25.500000 120 4.447 0.012327 -71.895145
98.500000 25.500000 130 4.488 0.010973 -75.528256
98.500000 25.500000 140 4.513 0.009696 -78.950726
98.500000 25.500000 150 4.528 0.008500 -82.061133
98.500000 26.000000 0 3.134 0.021158 -3.353497
98.500000 26.000000 5 3.133 0.016108 -19.213247
98.500000 26.000000 10 3.380 0.016176 -20.059009
98.500000 26.000000 15 3.459 0.009675 -1.950820
98.500000 26.000000 20 3.505 0.011020 25.697588
98.500000 26.000000 25 3.538 0.013487 32.732787
98.500000 26.000000 30 3.584 0.012075 31.614657
98.500000 26.000000 35 3.650 0.008709 24.680614
98.500000 26.000000 40 3.720 0.006116 9.129478
98.500000 26.000000 45 3.803 0.005259 -7.691577
98.500000 26.000000 50 4.235 0.005596 -19.094357
98.500000 26.000000 55 4.329 0.006629 -26.425791
98.500000 26.000000 60 4.304 0.007196 -31.685383
98.500000 26.000000 65 4.287 0.007263 -36.649664
98.500000 26.000000 70 4.171 0.013388 -44.588300
98.500000 26.000000 80 4.101 0.011483 -55.853211
98.500000 26.000000 90 4.192 0.010422 -66.527697
98.500000 26.000000 100 4.288 0.010199 -74.744353
